Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Kirby Yates,LAD,50,0,41.1,11.32,3.7,1.96,0.293,69.1,5.23,4.76,3.9,-0.1
Ryan Thompson,ARI,48,0,41.1,7.84,2.83,0.87,0.317,70.0,3.92,3.74,3.94,0.2
Kody Funderburk,MIN,39,0,41.0,8.78,3.95,0.44,0.35,77.2,3.51,3.35,3.96,0.4
Johan Oviedo,PIT,9,9,40.1,9.37,5.13,1.34,0.208,80.3,3.57,4.92,4.9,0.2
Sam Long,KCR,39,0,40.1,7.36,4.91,1.56,0.328,65.9,5.36,5.54,5.12,-0.4
Shane Bieber,TOR,7,7,40.1,8.26,1.56,1.79,0.245,84.4,3.57,4.47,3.35,0.3
Ian Hamilton,NYY,36,1,40.0,9.45,4.95,1.13,0.24,70.5,4.28,4.39,4.38,0.0
Seth Halvorsen,COL,42,0,39.2,8.17,4.76,1.59,0.312,69.0,4.99,5.2,4.31,-0.3
Michael Kelly,ATH,42,0,39.2,6.58,4.31,1.13,0.241,77.8,3.18,4.82,5.13,-0.2
Kevin Kelly,TBR,41,0,39.2,7.94,2.04,2.5,0.293,64.8,5.9,5.66,3.84,-0.5
Parker Messick,CLE,7,7,39.2,8.62,1.36,0.91,0.359,86.2,2.72,2.98,3.15,1.0
Mick Abel,2 Tms,10,8,39.0,9.0,3.69,1.85,0.318,65.6,6.23,5.11,4.34,0.1
Marcus Stroman,NYY,9,9,39.0,6.0,3.69,1.38,0.304,65.3,6.23,5.19,5.0,0.1
Paul Blackburn,2 Tms,15,4,39.0,7.85,2.77,1.38,0.336,60.1,6.23,4.39,4.17,0.2
Anthony DeSclafani,ARI,13,4,38.2,8.38,2.79,2.56,0.248,80.3,5.12,6.29,4.59,-0.7
Jack Perkins,ATH,12,4,38.2,8.61,4.19,0.93,0.23,70.0,4.19,4.12,4.65,0.4
Frankie Montas,NYM,9,7,38.2,7.45,3.26,1.86,0.325,65.6,6.28,5.33,4.76,0.0
Shinnosuke Ogasawara,WSN,23,2,38.2,6.98,3.96,2.09,0.298,65.5,6.98,6.16,5.17,-0.5
DL Hall,MIL,20,3,38.2,6.28,3.96,0.47,0.202,68.1,3.49,3.73,4.85,0.4
Ryan Weathers,MIA,8,8,38.1,8.69,2.82,1.64,0.275,74.6,3.99,4.6,4.03,0.2
Joey Lucchesi,SFG,38,0,38.1,7.28,2.82,0.94,0.267,73.7,3.76,3.97,4.06,0.1
Kyle Nicolas,PIT,31,0,38.0,8.05,4.26,0.71,0.282,66.3,4.74,3.95,4.87,0.2
Brock Stewart,2 Tms,43,0,37.2,10.51,3.11,0.72,0.305,84.8,2.63,3.19,4.12,0.7
Lyon Richardson,CIN,34,0,37.2,7.17,5.02,0.48,0.299,61.2,4.54,4.06,4.6,0.1
Chase Lee,DET,32,0,37.1,8.68,2.17,1.69,0.266,78.3,4.1,4.53,3.87,-0.1
Javier Assad,CHC,8,7,37.0,5.59,2.92,0.73,0.27,75.9,3.65,4.24,4.69,0.3
Max Kranick,NYM,24,0,37.0,6.08,1.22,1.22,0.257,75.0,3.65,3.95,4.36,0.3
Daysbel Hernández,ATL,39,0,37.0,8.03,7.3,0.73,0.25,78.5,3.41,5.0,5.65,-0.4
Cristian Javier,HOU,8,8,37.0,8.27,3.65,0.73,0.279,59.4,4.62,3.65,4.97,0.9
John Curtiss,ARI,30,0,36.2,5.89,1.23,1.23,0.224,59.3,3.93,4.01,4.34,0.0
Grant Taylor,CHW,36,2,36.2,13.25,3.68,0.0,0.42,61.5,4.91,1.42,2.34,1.7
George Soriano,MIA,24,0,36.2,8.84,4.66,2.45,0.34,58.5,8.35,6.44,4.36,-0.7
Roki Sasaki,LAD,10,8,36.1,6.94,5.45,1.49,0.235,79.4,4.46,5.8,5.53,-0.1
Jake Woodford,ARI,22,0,36.1,5.7,3.22,0.74,0.328,58.1,6.44,4.26,4.93,0.0
Tony Gonsolin,LAD,7,7,36.0,9.5,4.5,2.25,0.27,79.7,5.0,6.02,4.57,-0.1
Carson Seymour,SFG,16,3,36.0,6.5,3.25,2.25,0.262,78.1,4.75,6.11,4.44,-0.6
Kyle Harrison,2 Tms,11,6,35.2,9.59,3.53,1.01,0.313,76.6,4.04,3.72,3.95,0.5
Yerry De los Santos,NYY,25,0,35.2,7.07,4.29,0.25,0.319,74.6,3.28,3.44,3.99,0.3
Spencer Arrighetti,HOU,7,7,35.1,7.9,5.09,1.53,0.25,71.7,5.35,5.54,5.03,-0.1
Zack Kelly,BOS,28,0,35.1,8.92,3.06,0.76,0.323,63.3,4.58,3.53,4.04,0.4
Ryan Borucki,2 Tms,39,0,35.0,8.23,4.11,1.03,0.272,64.4,4.63,4.25,3.86,0.0
Dylan Dodd,ATL,28,0,35.0,7.71,1.29,1.29,0.242,74.1,3.6,3.79,3.43,0.2
Anthony Molina,COL,17,1,34.2,6.23,1.56,3.12,0.345,69.4,7.27,6.94,4.58,-0.6
Félix Bautista,BAL,35,0,34.2,12.98,5.97,0.78,0.197,83.3,2.6,3.37,3.35,0.6
Chris Murphy,BOS,23,0,34.2,7.79,5.19,1.04,0.191,84.2,3.12,5.07,4.86,-0.2
Rico Garcia,3 Tms,29,1,34.1,9.96,2.62,1.31,0.292,85.3,3.15,3.69,3.28,0.3
Juan Morillo,ARI,42,0,34.1,9.44,5.24,0.52,0.387,71.2,4.19,3.63,4.13,0.3
Nestor Cortes,2 Tms,8,8,34.1,7.6,5.24,3.41,0.247,85.4,6.29,8.29,5.75,-0.9
José Fermin,LAA,40,0,34.1,10.22,6.03,2.1,0.21,74.1,4.46,5.99,5.16,-0.5
Carson Palmquist,COL,9,7,34.1,7.08,6.55,2.62,0.318,64.4,8.91,7.8,6.57,-0.6
Justin Slaten,BOS,36,0,34.0,6.62,2.65,0.79,0.242,54.9,4.24,3.69,4.41,0.4
Nabil Crismatt,ARI,8,5,34.0,6.62,2.38,1.59,0.304,72.1,3.71,4.84,4.32,0.1
Thomas Hatch,2 Tms,12,1,34.0,5.82,4.5,1.85,0.311,72.0,5.82,6.02,5.29,-0.3
Travis Adams,MIN,18,2,33.2,8.29,4.54,1.6,0.327,59.3,7.49,5.39,5.14,-0.3
Andrew Chafin,2 Tms,42,0,33.2,9.62,5.08,0.53,0.314,81.9,2.41,3.46,3.97,0.4
Shawn Dubin,2 Tms,30,0,33.2,7.49,2.94,1.6,0.316,74.5,5.08,4.95,4.23,-0.1
Alek Jacob,SDP,29,0,33.1,6.21,3.78,1.62,0.288,75.6,5.13,5.9,5.78,-0.4
