Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Hogan Harris,ATH,48,0,64.2,9.05,4.59,0.7,0.283,76.5,3.2,3.71,4.37,0.6
Corbin Burnes,ARI,11,11,64.1,8.81,3.64,0.98,0.253,80.6,2.66,3.94,3.73,0.7
Kumar Rocker,TEX,14,14,64.1,7.83,3.22,1.54,0.311,67.8,5.74,4.88,4.14,0.3
Jordan Leasure,CHW,68,1,64.1,11.33,4.2,1.68,0.255,79.1,3.92,4.49,3.91,0.5
Robert Garcia,TEX,71,0,64.0,9.56,3.09,1.13,0.294,78.8,2.95,3.71,3.68,0.5
Ryan Yarbrough,NYY,19,8,64.0,7.73,2.67,1.83,0.257,78.9,4.36,5.04,4.3,0.1
John Schreiber,KCR,74,0,64.0,8.72,2.67,1.41,0.272,76.2,3.8,4.17,3.99,0.3
Bowden Francis,TOR,14,14,64.0,7.59,3.8,2.67,0.286,74.9,6.05,6.85,5.21,-0.8
Reid Detmers,LAA,61,0,63.2,11.31,3.53,0.85,0.34,73.1,3.96,3.12,3.08,1.2
Yuki Matsui,SDP,61,0,63.1,8.67,4.69,1.42,0.257,79.5,3.98,4.87,4.94,-0.3
Keegan Akin,BAL,64,3,63.1,8.38,4.69,1.42,0.267,81.1,3.41,4.94,4.66,-0.5
Tommy Kahnle,DET,66,0,63.0,7.14,4.43,1.14,0.243,71.0,4.43,4.72,4.66,-0.2
Brant Hurter,DET,43,4,63.0,9.71,3.86,0.57,0.317,77.2,2.43,3.61,4.08,0.6
Huascar Brazobán,NYM,52,3,63.0,8.14,3.86,0.86,0.268,72.0,3.57,4.04,4.2,0.4
Yoendrys Gómez,3 Tms,21,9,62.2,8.33,3.88,1.72,0.273,68.7,5.17,5.26,4.81,0.1
Seranthony Domínguez,2 Tms,67,0,62.2,11.35,5.17,0.72,0.281,69.3,3.16,3.47,3.71,0.9
David Bednar,2 Tms,64,0,62.2,12.35,2.73,0.57,0.298,79.5,2.3,2.18,2.7,2.0
Andrés Muñoz,SEA,64,0,62.1,11.98,4.04,0.29,0.248,76.7,1.73,2.43,3.05,1.9
Matt Strahm,PHI,66,0,62.1,10.11,2.89,0.72,0.264,75.8,2.74,2.99,4.22,1.5
Gabe Speier,SEA,76,0,62.0,11.9,1.6,0.73,0.271,76.9,2.61,2.31,2.83,1.7
Devin Williams,NYY,67,0,62.0,13.06,3.63,0.73,0.296,55.2,4.79,2.68,2.95,1.4
Brock Burke,LAA,69,1,61.2,7.59,2.63,1.17,0.284,81.1,3.36,4.16,3.87,0.3
Cole Ragans,KCR,13,13,61.2,14.3,2.92,1.02,0.354,64.4,4.67,2.5,2.45,2.1
Mason Miller,2 Tms,60,0,61.2,15.18,4.09,0.73,0.24,76.0,2.63,2.23,2.27,2.0
Lucas Erceg,KCR,61,0,61.1,7.04,2.64,0.59,0.286,81.0,2.64,3.49,3.95,0.9
Juan Mejia,COL,55,0,61.1,9.98,3.67,0.88,0.295,65.7,3.96,3.71,4.07,0.7
Ryan Walker,SFG,68,0,61.1,8.8,2.64,0.59,0.318,67.2,4.11,3.3,3.63,0.6
Aroldis Chapman,BOS,67,0,61.1,12.47,2.2,0.44,0.2,87.6,1.17,1.73,2.53,2.6
Phil Maton,2 Tms,63,0,61.1,11.89,3.38,0.44,0.291,75.2,2.79,2.6,3.04,1.5
Blake Snell,LAD,11,11,61.1,10.57,3.82,0.44,0.314,76.9,2.35,2.69,3.09,1.9
Garrett Cleavinger,TBR,67,0,61.1,12.03,2.64,1.32,0.244,91.6,2.35,3.59,2.89,0.7
JoJo Romero,STL,65,0,61.0,8.11,4.28,0.3,0.269,75.8,2.07,3.28,4.12,0.9
Hunter Dobbins,BOS,13,11,61.0,6.64,2.51,0.89,0.296,69.8,4.13,3.87,4.11,1.0
Sean Manaea,NYM,15,12,60.2,11.13,1.78,1.93,0.314,68.5,5.64,4.39,3.3,0.4
Pete Fairbanks,TBR,61,0,60.1,8.8,2.69,1.04,0.239,77.5,2.83,3.63,3.76,1.0
Calvin Faucher,MIA,65,0,60.1,8.8,3.58,1.19,0.28,77.0,3.28,4.25,3.93,0.0
Matt Svanson,STL,39,0,60.1,10.14,2.98,0.45,0.216,81.4,1.94,2.72,3.4,1.0
Gregory Soto,2 Tms,70,0,60.1,10.44,3.58,0.6,0.341,70.0,4.18,3.42,3.99,0.7
Rafael Montero,3 Tms,59,0,60.1,8.65,5.52,0.75,0.242,62.5,4.48,4.13,4.48,0.1
Brenan Hanifee,DET,54,0,60.0,6.0,2.1,0.45,0.308,65.1,3.0,3.25,3.91,0.6
Orion Kerkering,PHI,69,0,60.0,9.75,4.05,0.9,0.299,74.7,3.3,3.82,4.19,0.7
Justin Topa,MIN,54,1,60.0,7.35,2.7,0.3,0.338,66.5,3.9,3.04,3.89,0.9
Alex Vesia,LAD,68,0,59.2,12.07,3.32,1.36,0.231,83.7,3.02,3.77,3.57,1.0
Pierce Johnson,ATL,65,0,59.0,9.0,2.9,1.22,0.291,83.9,3.05,3.91,4.03,0.3
Kenley Jansen,LAA,62,0,59.0,8.69,2.9,1.22,0.195,85.2,2.59,3.98,4.6,0.6
Angel Chivilli,COL,43,0,58.2,6.6,3.53,1.99,0.332,64.5,7.06,6.03,4.86,-0.7
Bradley Blalock,COL,14,12,58.2,4.14,3.53,2.61,0.332,57.3,9.36,7.31,5.67,-1.0
Caleb Thielbar,CHC,67,0,58.0,8.69,2.02,0.78,0.226,77.3,2.64,3.0,3.68,1.1
Tyler Ferguson,ATH,56,0,58.0,8.38,5.28,0.62,0.26,65.0,4.66,4.14,5.07,0.3
Yennier Cano,BAL,65,0,58.0,8.22,3.72,1.09,0.335,66.9,5.12,4.27,3.9,0.1
Brandon Young,BAL,12,12,57.2,7.34,3.43,1.87,0.314,65.1,6.24,5.35,4.52,-0.1
Austin Gomber,COL,12,12,57.2,5.31,2.65,2.5,0.324,63.1,7.49,6.5,5.67,-0.4
Jalen Beeks,ARI,61,2,57.1,7.38,3.14,0.94,0.231,68.3,3.77,4.01,4.29,0.2
Tanner Scott,LAD,61,0,57.0,9.47,2.84,1.74,0.297,71.0,4.74,4.7,3.86,0.0
Ian Seymour,TBR,19,5,57.0,10.11,3.0,0.79,0.285,58.7,3.63,3.19,3.81,1.1
Luis Gil,NYY,11,11,57.0,6.47,5.21,0.79,0.256,78.4,3.32,4.63,5.65,0.6
Ryan Zeferjahn,LAA,62,1,57.0,11.53,5.53,1.89,0.278,80.1,4.74,5.36,4.3,-0.6
Kyle Finnegan,2 Tms,56,0,57.0,8.68,2.84,0.63,0.272,68.5,3.47,3.12,3.58,1.2
Nick Mears,MIL,63,0,56.2,7.31,2.06,1.11,0.227,67.1,3.49,3.86,4.32,0.5
Tristan Beck,SFG,31,1,56.2,6.51,2.54,1.11,0.241,65.2,4.61,4.25,4.49,0.0
Hurston Waldrep,ATL,10,9,56.1,8.79,3.51,0.48,0.288,79.0,2.88,3.21,3.66,1.2
Martín Pérez,CHW,11,10,56.0,7.07,3.54,0.96,0.221,73.7,3.54,4.24,4.91,0.8
Ryan Helsley,2 Tms,58,0,56.0,10.13,4.02,1.29,0.342,72.6,4.5,4.14,3.79,0.2
Ryne Stanek,NYM,65,0,56.0,9.32,5.14,1.13,0.31,62.7,5.3,4.4,4.98,0.1
Taylor Clarke,KCR,51,0,55.1,7.16,1.46,1.3,0.208,76.1,3.25,3.97,3.68,0.3
Reed Garrett,NYM,58,1,55.1,10.41,4.23,0.81,0.296,70.1,3.9,3.46,3.65,0.8
Luis García,3 Tms,58,0,55.1,7.81,4.23,0.33,0.338,74.2,3.42,3.28,4.01,0.7
Lance McCullers Jr.,HOU,16,13,55.1,9.92,6.34,1.63,0.325,66.7,6.51,5.77,5.12,-0.2
Steven Wilson,CHW,59,0,55.1,8.3,3.58,1.14,0.272,82.8,3.42,4.29,5.13,0.4
Jake Bird,2 Tms,48,0,55.1,10.73,4.07,1.14,0.361,65.2,5.53,3.91,3.58,0.5
Jorge Alcala,3 Tms,56,0,55.0,9.98,4.91,2.13,0.349,67.3,6.22,5.68,4.82,-0.5
José Ureña,5 Tms,19,6,55.0,5.56,3.76,1.31,0.277,75.2,4.58,5.21,5.45,-0.1
